"Tree","Node","ID","Feature","Split","Yes","No","Missing","Quality","Cover"
0,0,"0-0","f3","0.025119","0-1","0-2","0-1",1412.4,1364.25
0,1,"0-1","f1","0.145417","0-3","0-4","0-3",13.6796,98.75
0,2,"0-2","f2","0.374583","0-5","0-6","0-5",54.2279,1265.5
0,3,"0-3","Leaf",NA,NA,NA,NA,-1,1
0,4,"0-4","Leaf",NA,NA,NA,NA,1.97975,97.75
0,5,"0-5","Leaf",NA,NA,NA,NA,-1.98494,1261
0,6,"0-6","Leaf",NA,NA,NA,NA,1.27273,4.5
1,0,"1-0","f2","0.130637","1-1","1-2","1-1",210.09,581.234
1,1,"1-1","f2","0.0759615","1-3","1-4","1-3",3.29554,530.841
1,2,"1-2","f5","2.16424","1-5","1-6","1-5",17.6064,50.3933
1,3,"1-3","Leaf",NA,NA,NA,NA,-1.13171,519.582
1,4,"1-4","Leaf",NA,NA,NA,NA,-0.515552,11.2582
1,5,"1-5","Leaf",NA,NA,NA,NA,-0.929413,3.6341
1,6,"1-6","Leaf",NA,NA,NA,NA,1.16847,46.7592
2,0,"2-0","f2","0.0759615","2-1","2-2","2-1",60.4486,230.059
2,1,"2-1","Leaf",NA,NA,NA,NA,-1.02921,198.835
2,2,"2-2","f5","2.03415","2-3","2-4","2-3",16.0959,31.2242
2,3,"2-3","Leaf",NA,NA,NA,NA,-0.699464,8.09485
2,4,"2-4","Leaf",NA,NA,NA,NA,0.871285,23.1294
